,Unnamed: 0,Links,Region,Company,Title,Employment Type,Seniority,Industry,Salary,Payment,Description,Requirements
46,46,https://www.mycareersfuture.sg/job/regional-product-manager-glodon-international-13b6e7f9c635ccc7cfba4b8109e055da,West,GLODON INTERNATIONAL PTE. LTD.,Regional Product Manager,Permanent,Manager,Building and Construction,"$4,500to$6,000",Monthly,"Roles & Responsibilities
Job Overview:
As the Regional Product Manager, you are required to understand and work towards providing critical information about products, market, competitors, customers, prospect, key industry analysts, and other constituencies. You will need to continually gather and analyse data and business intelligence from various sources and apply this in the evolution of product roadmaps. Besides, you will also need to interact with many stakeholders to ensure the products’ success and construct these cases which will aid in the achievement of the product roadmap.
  Scope of Work:
Plan and derive products roadmap.
Analyse market trend and requirement.
Study and carry out product testing.
Perform product research and analysis.
Manage product feedbacks and requirements.
Work closely with the programming developers.
Support marketing and sales in product demonstration.
Attend to technical meetings.
Advice and give professional product related recommendations.
Achieve quarterly/yearly KPI given by management.","Requirements
Qualifications:
Education:
Diploma/Degree/Masters in QS, Engineering, BIM or any construction related certificates.
Past Experiences:
Cost Estimation, Cost Planning, Budget Control, Progress Claims and V.O., Project Tendering, Project Cost Monitoring, Construction Project Coordination, BIM Project Implementation, BIM Project Coordinator, or any construction related work experiences.
Other Skills:
Able to communicate, read and write mandarin/Chinese is an additional point.
Technical and IT literate is an addition point.
Years of Working Experience (min): 5-8 Years
Years of Working Experience in Construction Sector (min): 5 years
Proficient in Glodon Cubicost software; Familiar with AutoCAD and Revit."
47,47,https://www.mycareersfuture.sg/job/bi-sales-manager-xplore-infocomz-solution-ce45097c99281338eb5984d422cb2249,Central,XPLORE INFOCOMZ SOLUTION (PTE. LTD.),BI Sales Manager (ASEAN),Permanent,Professional,Information Technology,"$6,000to$8,000",Monthly,"Roles & Responsibilities
It is a Account Manager role to drive BI sales initiatives into enterprise accounts. Responsibilities include qualifying, selling and closing new business into prospects and installed accounts. The person would be in hybrid role – Direct and channels and would be responsible to cover the whole ASEAN market focussing on BI Solution
Duties and Responsibilities:
Sell value and ROI of  Business Intelligence Software into business decision makers
Meet and exceed direct sales goals within assigned geographic territory.
Manage all aspects of the sales process including lead generation, qualification, evaluation, close and account care.
Develop in depth knowledge of our product, business intelligence & analytic concepts, and our competitor’s products
Effectively position and sell product to clients through initial phone conversations, face-to-face meetings, and product demonstrations
Manage and drive multiple concurrent sales cycles effectively
Qualify and forecast deals accurately
Build & maintain strong client relationships to pave the way for additional future sales
Manage and upsell existing clients
Work effectively within a team environment to maximize revenue potential and ensure customer success.
Effectively advise and influence customers through challenger selling techniques.
Research the customer environment to create effective business impact models, build business cases, ROI & TCO models","Requirements
8+ years overall sales experience
3+ years of experience selling SaaS or premise-based application software solutions to C-Level.  Strong preference on BI, Analytics, Database and Big Data software experience.
Consistent over-quota performance and high W2 income track record of above OTE achievement
Stability – Proven history of being a top performer in a company for multiple years running
A self-starter who can effectively work within a strong team culture while being independent in managing his/her business.
Highest level of professional courtesy, mutual respect, and ethics
Interaction with senior executives across multiple industries
Strong C-level/board level communication & presentation skills
Strategic, solution and challenger sales capabilities that support selling to the C-Level
Ability to work in a fast pace, open, collaborative, passionate and driven environment.
Ability to manage multiple priorities effectively, network internally to get things done and be accountable for his/her decisions.
Negotiate effectively based on value and time to close.
   "
48,48,https://www.mycareersfuture.sg/job/business-intelligence-analyst-servicesource-international-singapore-a29a8e6191ce2e04333646e7048b340d,South,SERVICESOURCE INTERNATIONAL SINGAPORE PTE. LTD.,Business Intelligence Analyst,Full Time,Professional,Information Technology,"$3,500to$5,000",Monthly,"Roles & Responsibilities
Provisioned as trusted advisor to consult CSO leadership
Promote outside of the data thinking for the client to understand true customer behavior
Work with Stakeholders, Ops Management, and Sales management on key initiatives and campaigns
Report on key business metrics vs. targets - opportunity and revenue, production metrics by client, by center and by region, benchmark with conclusions
Publish weekly stats - to target, trending , benchmarks
Various reporting requirements e.g. sales incentive tracking, Performance review statistics, surveys, security audits, and others as required
Publish team specific dashboards/balanced scorecards with key metrics and conclusions
Support the team in compiling insightful client team performance presentations and dashboards
Supporting the Sales teams with data requirements for different planning and operational asks, up to and including marketing campaigns/coaching materials/client asks
Lead statistical analysis on performance to drive insights / recommendations for the Sales team
Work with the Data Services team with tools that Sales and Operations Services can use to extract data / insights for daily business management in an automated manner
Implement efficiency projects on team to drive better acceleration behavior
Proactively work with the client stakeholders to help drive further knowledge back into the business unit","Requirements
2-4 years practical business experience (preferably supporting a sales organization but not essential)
Proven ability to perform complex analysis such as regression, forecasting and probability modeling
Ability to identify active ways to influence KPI movement positively
Can modify and create custom metrics/KPIs for replicating our client's needs
Experience working on multiple CRM and/or information data repositories
SQL, and Tableau experience preferred but not a necessity
Proven ability to capture and document business and reporting requirements from multiple sources
Proven ability to coordinate and manage simultaneous data analysis requests of varying size & scope
Meets project timelines consistently with minimal to no supervision
Knows how to set reasonable expectations for clients that are aggressive but achievable through thought leadership
Consistently is proactive in identify potential grey areas in tasks, calculations, data management, processes, etc. and works to bring why there is a believed gap with a suggested path to resolve.
Excellent communication skills - written and verbal with an ability to convey complex information to a broad audience
Excellent presentation skills
Has demonstrated proficiency in excel. Able to create strong templates and best practices in place for reusability across clients.
Can create dynamic workbooks to drive a complex refresh process that others can diagnose, understand, and use strong interpersonal skills with ability to work independently and within a team (often remote)"
49,49,https://www.mycareersfuture.sg/job/business-intelligence-engineer-honestbee-c0f7f1cab964f2e5ac5f00720919ac0f,South,HONESTBEE PTE. LTD.,Business Intelligence Engineer,Full Time,"Executive, Senior Executive",Information Technology,"$4,500to$6,500",Monthly,"Roles & Responsibilities
What you will be doing:
- Be part of Asia's strongest technology team in one of the world's most exciting startups
- Manage and administer the BI platform (Looker) for the whole organisation
- Manage the underlying data model, data warehousing, ETL processes and data pipelines for the BI platform
- Collaborate with cross-functional stakeholders to understand the business needs, design and deliver end-to-end data solutions
- Design dashboards to provide insights at scale and solve the analytical needs of the business user
- Be a thought-leader who develops strategic and tactical data initiatives to drive data-driven operations and decisions, and self-service analytics throughout the organization
- Grow your skills and career in an environment that values continuous learning and personal development","Requirements
- You are a SQL ninja with proficiency in Python
- You design dashboards that make data sing like Pavarotti
- You have 2+ years of experience administering data analysis tools such as Looker, Tableau, QlikSense, PowerBI
- You have 2+ years of experience with data modelling, data processing / ETL implementation, and supporting data warehouses (E.g. Redshift, BigQuery, etc)
- You have demonstrated success in effective leadership, problem solving, prioritisation, and stakeholder management
- You have strong communication (presentation, written, and listening) skills and excellent collaboration skills to work effectively with both engineers and business stakeholders
- You enjoy working in a startup and are able to adapt to changing business needs
- You are a quick learner with regards to both new businesses and technologies
You are self-motivated and can work well under pressure"
50,50,https://www.mycareersfuture.sg/job/business-development-manager-ntt-data-singapore-105a93544021314cba7a5b0130fefe67,Central,NTT DATA SINGAPORE PTE. LTD.,Business Development Manager,"Permanent, Contract",Middle Management,"Banking and Finance, Information Technology","$7,000to$10,000",Monthly,"Roles & Responsibilities
NTT DATA Group provides its clients world-class IT solutions. Its vast experience in end-to-end solutions for diverse industries, on many different platforms, allows them to deliver measurable results that meet or exceed every expectation. Its IT service portfolio includes business consulting, design, implementation and operation & maintenance support.  NTT DATA’s solution portfolio extends to Industrial package implementation, Oracle, SAP, Business Intelligence, Financial Service, Cloud Service and Public infrastructures such as custom clearing, geographical information system and etc.
NTT DATA is actively hiring career minded professionals who want to grow with the company that believes in the success of our clients and our employees.  If you are interested, visit us at www.nttdata.com to discover more about us.  We invite qualified applicants for the following position.
Role:
To work in a challenging client-facing environment and be able to perform the following:
To grow sales revenue for new accounts.
Contribute to business expansion into South East Asia Market.
Identify and qualify new opportunities, work with pre sales support team to close the deals.
Develop and promote new opportunities, ensure timely closure of opportunities.
Recognize sales opportunities by identifying prospects; present business propositions to new customers at CFO/CIO level.
Achieve and exceed assigned monthly and quarterly sales quota.
Sales / projects follow-up and after-sales services.
Orchestrate the business consistent with company operational standards and brand promise.
Experience in navigating complex large organizations and be comfortable working at different levels in both the technical and financial areas of client.","Requirements
BFSI knowledge.
Prior technical supporting experience to banking & finance clients.
Territory knowledge in the following areas: loan business, trade finance and financial technology (Fintech).
Highly motivated, strong will to accomplish the goal.
Proven track record of completing a proof of concept of block chain in trade finance
Understanding of the financial market.
Strong presentation, negotiation and influencing skills.
Experience of lecturer to new employees.
Keen eye for detail, coupled with  leadership capabilities.
Good communication skills and self-motivated.
Ability to speak Japanese to liaise with Japanese speaking stake holders
Team player."
51,51,https://www.mycareersfuture.sg/job/data-analyst-digital-service-tuv-sud-asia-pacific-44a3df99cbbb2c24439e5990aa61eb94,South,TUV SUD ASIA PACIFIC PTE. LTD.,Data Analyst - Digital Service,Permanent,Senior Executive,"Engineering, Information Technology","$4,500to$7,500",Monthly,"Roles & Responsibilities
  Position Summary
  The candidate will be expected to work closely with the business and technical team members, as well as internal and external partners, in order to develop, apply and recommend Data Analytics solutions in the field of Smart Lifts and Smart City sectors. A sound knowledge of Data Analytics and corresponding software packages, as well as application specific expertise enable the candidate to efficiently implement and run context dependent data based solutions.
      Key Responsibilities
  §  Cooperate with subject matter experts and customers to develop application specific data based solutions
  §  Perform data mining from various data sources collect, store and model real-time and offline data for specific applications
  §  Implement and develop real-time analytics and business intelligence platform
  §  Review and provide recommendations on data analytics platform implementation and algorithms during the implementation of IOT projects
  §  Generate, maintain and provide statistical information for the specific applications on real-time basis
  §  Review the data collection platform to ensure accuracy and reliability for analytics
  §  Develop and lead data analytics activities in Singapore through strong interaction with other TUV SUD legal entities
  §  Prepare reports, presentations and information to management, business development and partners
 ","Requirements
Key Requirements
§  Degree in Statistics, Mathematics, Computer Sciences, or equivalent studies with at least 4 years of data analyst experience in the technological field
§  Knowledge of data modeling, statistical methodologies, data mining techniques and testing
§  Good knowledge and understanding of local digital landscape, technology, business trends, business intelligence and smart technology applications
§  Expert in real-time analytics, scripting languages and adept with Java, MapReduce and Hadoop, SQL databases
§  Able to learn and deploy new systems and applications
§  Able to articulate complex data and information effectively and clearly
§  An independent, confident and proactive team player with work experiences in a multi-cultural, cross-divisional and inter-disciplinary culture"
52,52,https://www.mycareersfuture.sg/job/occupancy-planner-cbre-cdffff112b984373a2225814f1473251,Central,CBRE PTE. LTD.,Occupancy Planner,Permanent,"Professional, Senior Executive",Architecture / Interior Design,"$4,000to$8,000",Monthly,"Roles & Responsibilities
JOB SUMMARY:
The purpose of this position is to provide space planning, data mining/analysis, reporting and interpretation of space planning metrics in an effort to provide recommendations and proposed solutions for a client's occupancy needs. 
ESSENTIAL DUTIES AND RESPONSIBILITIES: 
Analyzes space requirements and provides conceptual space plans and recommendations to real estate team(s) and/or stake holders; Prepares block or stack plan(s); charter(s) and move lists.  
Produces drawings and presentations for internal stakeholder(s) and client facing steering committee meetings (Workplace Managers, Business Unit Directors, Leadership, etc.) for review and feedback; involves project management staff as appropriate for move and construction services.
Collaborates with other team members to gain business intelligence. Responsible for occupancy data within the system of record. May be required to manage space walks for validation and update of occupancy metrics. 
Partners with other departments on move and relocation sequencing and execution. Liaise with Change Management teams as needed.
Makes recommendations to Management on necessary space planning code changes and/or requirements and updates.
Attends client meetings to collect requirements, present findings and recommendation. Obtains approvals to proceed when required.
Acts as a single point of contact for relevant systems/processes in subject teams and day-to-day functions.
Other duties may be assigned.   ","Requirements
QUALIFICATIONS:
Bachelor's degree from 4-year college or university.  Master's degree preferred. 
Minimum 3 years experience directly related to the delivery of strategic planning services; or equivalent combination of education and experience. 
AutoCAD drawing experience is required. 
CAFM software experience is preferred. 
Excellent written and verbal communication skills. 
Strong organizational and analytical skills. 
Ability to provide efficient, timely, reliable and courteous service to customers. 
Ability to effectively present information. 
Requires knowledge of financial terms and principles and conducts basic financial analysis. 
Ability to comprehend, analyze, and interpret documents. 
Ability to solve problems involving several options in situations. 
Requires intermediate analytical and quantitative skills. 
Proficient with word processing, spreadsheet, desktop publishing and CAD/CAFM software including MS Office Suite (MS Project, PowerPoint, Excel & Visio). 
Familiar with system furniture design and modular furniture while demonstrating knowledge and adherence to building regulations and health & safety guidelines. 
Ability to provide efficient, timely and reliable service to the client(s). "
53,53,https://www.mycareersfuture.sg/job/manager-business-intelligence-tripadvisor-singapore-4c1a41ddc434e1872e3b11ecb71dddf4,Central,TRIPADVISOR SINGAPORE PRIVATE LIMITED,"Manager, Business Intelligence","Permanent, Full Time",Manager,"Consulting , Others, Travel / Tourism","$7,500to$10,900",Monthly,"Roles & Responsibilities
TripAdvisor is the world's largest and most influential travel platform that helps travellers unleash the full potential of every trip.
This position will sit within the newly established Business Operations and Strategy team in APAC, and be focused on business intelligence to drive the growth strategy of the organization. We are seeking a highly analytical and entrepreneurial individual that will be the first Business Intelligence hire in the Singapore office, and keen to make an impact on how consumers travel. You will work closely with the APAC management team in defining and launching exciting new initiatives that build on TripAdvisor's strong foundation, grow our APAC user base and deliver measurable value. The role will be based in Singapore.
 Responsibilities
Work closely with the VP of APAC Business Operations & Strategy as well as APAC country managers to develop Tripadvisor's APAC strategy by providing actionable insights
Play a proactive role in defining business’ data needs; collect, organize and analyze data from a variety of sources
Create, manage and maintain management dashboards and reports to track KPIs and enable data-driven decision making
Work cross-functionally with Product, Sales, Account management and Partnership teams to communicate findings and drive initiatives","Requirements
Qualifications
Bachelor's degree, technical background preferred
Minimum 3 years work experience in a Business Intelligence role in a high-growth start-up or in management consulting / investment banking, with an exceptional track record
Experience in business forecasting, management reporting, and report automation
Experience with SQL and Tableau a must; Salesforce and additional programming experience a plus
 Ideal candidate
Entrepreneurial, detail-oriented, optimistic, flexible and outcome-focused with high level of initiative
Ability to structure your own analysis and use data to drive strategic objectives and priorities
Ability to navigate across TripAdvisor’s multiple business units, teams, data warehouses and reporting tools
Passionate about new products, technologies and emerging consumer Internet business models in Asia"
54,54,https://www.mycareersfuture.sg/job/business-intelligence-archivist-virtusa-singapore-e37fc502c838bf6d3244b368c568bf96,East,VIRTUSA SINGAPORE PRIVATE LIMITED,Business Intelligence Archivist,Permanent,Professional,Information Technology,"$9,000to$11,000",Monthly,"Roles & Responsibilities
Job purpose
Participate in full project lifecycle to understand business requirements and then complete the design, development, testing, implementation and post-production support of BI Technology solutions
Assist end users in resolving and identifying system issues by providing application knowledge, technical expertise and recommend appropriate solutions
Have high capacity for data analysis, data modelling, problem solving, accuracy and attention to detail
Have good understanding of Marketing and CRM business processes and reporting needs
Coordinate with any vendors for escalation of support related issues
  Roles and responsibilities of the position
Determines feasibility of requests, identifies best approach to provide technology solutions to meet business needs and provide detailed estimations (time, cost, resources)
Works with solution engineer to design and architect solutions and lead the implementation and delivery
Provides recommendations for enterprise BI architecture.
Provides support and troubleshooting for all related systems and technologies. This includes being a point of contact for business users
Leads in 24/7 on-call support activities
Operates with minimal supervision; self-starter
  Who will they be working with – eg:
“You will be a part of a talented software team that works on mission-critical applications.”
Challenges and outcomes, etc.","Requirements
Minimum 5+ years of experience in design, development and maintenance of Business Intelligence solutions using MicroStrategy.
Highly proficient with design and development of grid reports, report services documents, dashboards and scorecards.,
Strong knowledge on performance tuning of report SQLs, MicroStrategy VLDB settings.,
Excellent dashboard design skillset, including UI/visualization aspects and performance tuning of dashboards, intelligent cubes, transaction services.,
Strong knowledge on report bursting features, Narrowcast, Distribution services.,
Good knowledge on MicroStrategy Object Manager, Integrity Manager, Enterprise Manager, Command Manager, Web SDK, multi-source.,
Strong RDBMS skills which includes writing complex SQL queries.
Experience in customer-facing discussions for requirements gathering and architecting solutions for BI projects. Ability to train and mentor team members and business users. Good analytical, inter-personal & communication skills, with proactive attitude
Experience with Performance Optimization tuning and techniques
Comfortable with a variety of frontend technologies: HTML5, CSS, JavaScript and JQuery
Strong communication (oral and written) and documentation skills to interface across breadth of cross-functional technical teams and management"
55,55,https://www.mycareersfuture.sg/job/analyst-business-intelligence-go-jek-singapore-72f542e8846bf2d249771da80bac2f1b,Central,GO-JEK SINGAPORE PTE. LTD.,"Analyst, Business Intelligence",Full Time,Executive,"Consulting , General Management, Professional Services","$3,500to$5,000",Monthly,"Roles & Responsibilities
You would be responsible for evaluating the many, iterative experiments we run weekly, evaluating their impact to our North Star Metric, and hunting for the next GROWTH HACK opportunity by data-mining through user funnels, surveys, and petabytes of transactional data. 
You will partner with product managers and business owners in inventing, building & improving metrics that help achieve product goals. You will own the key analytics & reporting projects that create the required visibility for your team.
You should be able to pull useful insights from data for business and product using SQL, R, or Python. You should be able to use mobile analytics tools like MixPanel to create customer journeys & use them for better insights.
You should have a keen eye for patterns in data. You should engage in hypothesis driven problem solving & build processes/tooling that makes it easy for your team-mates to do the same. You should be able to suggest A/B tests and experimentation for product features, analyze how the key metrics respond and evaluate, whether to increase exposure or stop the experiment.
You will engage and partner with various teams in product and engineering to conduct research and gather information from various sources and tools.
You should understand how to draw statistically significant conclusions with a firm grasp of p-values, t-tests, and z-tests.","Requirements
Minimum qualifications 
Your Toolset:
Python or R
SQL
Mixpanel/Appsflyer
Data Dashboards
A passion for Mathematics and Statistics
Basic Requirements:
3-5 years experience
A firm grasp of statistics
An expert in SQL of all flavors: BigQuery, Postgres, MySQL and data modeling
And most importantly: The ability to balance ""Always being prepared"" with ""Fast and fearless"" execution - we need to do things FAST, and we need to do them WELL. If you know how to juggle the analysis of 3 concurrently running experiments AND assist in the launch of 2 more, you'll do well
Strong understanding and implementation of predictive / analytical modelling techniques (SAS, R, Julia, and Python), theories, principles, and practices. 
Strong quantitative ability, problem solving and excellent analysis skills. "
56,56,https://www.mycareersfuture.sg/job/salesforce-administrator-cme-group-singapore-operations-075d2ebc2b68ab48ca4ce8da3717e995,Central,CME GROUP SINGAPORE OPERATIONS PTE. LTD.,Salesforce Administrator,Full Time,Executive,Admin / Secretarial,"$6,000to$9,000",Monthly,"Roles & Responsibilities
As a source of innovative derivatives products and as a global financial marketplace, CME Group helps companies and institutions manage a vast array of risks, such as currency fluctuations for global manufacturers, unpredictable fuel costs for airlines and ever-changing commodity prices for farmers and are an essential part of the global economy. The mission of Salesforce.com at CME Group is to be our primary tool to capture, manage, access and share customer intelligence across the organization so that we main gain a single view, or 360 degree view, of customer profiles, activities, campaigns, and opportunity pipeline. The Salesforce Administrator will support this mission as part of the Customer Marketing/CRM team and be responsible for handling the ongoing support requests, administrative needs, and ensure Users adhere to standards and best practices for the CME Group Salesforce instance.
  Functions
Assists with ongoing system administration including security, profiles, workflow rules, custom objects, custom fields, etc.
Assists with release evaluations including updating user guides
Manage ongoing support requests and administrative needs of users
Assist in maintenance of system documentation and SFDC policies/procedures
Communicates regularly with the SFDC designated super users to support them in their role and provide information and training on new features and functionality.
Regularly perform database de-duping and cleanup procedures.
Ensure data quality through clean- up efforts (monthly reporting, lead clean up, etc.)
Develop ad-hoc reports as requested by user groups or stakeholders, performs analysis on data as required
Continuously monitor data quality and integrity. 
Trains Users on utilizing the CME Group Salesforce instance with standards and best practices in mind
Understands how Salesforce integrates with our other CRM solutions and customer/business intelligence databases","Requirements
Experience/Education
Certified Salesforce Administrator, including Summer 18 release-certification
Bachelors Degree
Experience in administration of a Salesforce instance, including user training
Ability to manage time effectively, understand directions and work independently
Team player
Strong organizational skills
Ability to work in a fast paced environment"
57,57,https://www.mycareersfuture.sg/job/ux-ui-designer-homage-b0b8e3ccc5320dc129a5c93d4756c865,East,HOMAGE CO PTE. LTD.,UX / UI Designer,Full Time,Executive,Design,"$4,000to$7,000",Monthly,"Roles & Responsibilities
About Homage
Homage's mission in life is big, really big. We want to redefine healthcare in the home for everyone in Asia and the world, and not in a small way, starting from our families and parents. We want to make sure our parents, your parents, and everyone's parents can age at home with control, joy, comfort, and grace.
It’s about time home care is revolutionized through innovative technology, design, data and equally important training and curation of the best care caregivers. Home care hasn’t innovated in a while and here’s your chance to change that.
We're looking for product designers who live and breathe our users’ experience and customer happiness to join our engineering team. Your work will directly impact the lives of people receiving care, people delivering care, and the families that are normally left in the dark about the entire caring process. We're looking for strong team players with team experience and great communication skills, people who can work with a very diverse team (engineers, care operations, sales folks.)
We want you to light up and innovate on systems that have traditionally been left behind. The product team is small, lean, and fast! Plus you have a bias toward action and can break down complex problems into steps that drive product development at lightning speed!
  Responsibilities
Homage is seeking a talented and empathetic UX / UI designer to help us realize the future of community- and home-based healthcare.
At Homage, you’ll be working on a wide range of digital products, from iOS and Android mobile apps to our enterprise. Our apps serve and delight real people whose experiences matter - users include families who need home care for the ones they love, freelance caregivers, partner organisations and the internal Operations team.
As a UX / UI designer, you’ll work closely with our product managers, engineers and other designers to define and deliver a wide range of features for both mobile and web digital products from conception to launch. You’ll hone your design toolkit, analytical and communication skills. You’ll also have a chance to develop your user research skills through user interviews, contextual inquiry and usability testing.
As part of the product group, you bridge the creative, technical and business worlds and you’ll be immersed in a fast-paced startup environment. You’ll collaborate closely with the entire company, including Product Management, Engineering, Care Operations, Sales, Marketing and Business Intelligence.","Requirements
Your responsibilities include:
Plan and execute both qualitative and quantitative user research to understand real use cases
Conduct usability testing to detect and minimize friction in existing features
Create design communication materials for new features, from low-fidelity sketches and wireframes to high-fidelity mockups and interactive prototypes, depending on the feature
Conceptualize A/B tests to continuously improve and innovate on the user experience
Collaborate with Product Managers to use insights into product vision and user experience to bring requirements to life
Transition designs to software engineers and internal users
Present designs at weekly product meetings
  Minimum qualifications
BA/BS in Design (e.g. interaction, graphic, visual communications, product, industrial), Human–Computer Interaction (HCI), Computer Science (CS), or a related field, or equivalent practical experience).
3 years relevant work experience in consumer or enterprise technology
Familiar with agile web development and project management
Excellent communication and teamwork skills
Preferred qualifications
Previous product design, product management, engineering experience or experience working on product at a startup is highly valued
Strong clean visual design sense
Proficiency with Sketch, Invision or other UX design software
Demonstrated experience in designing usable interfaces for mobile- and web-based products
Drive and demonstrated ability to achieve stretch goals in an innovative and fast-paced environment.
Excellent problem-solving, organizational and analytical skills, with the ability to evolve product design based on user feedback, research, data and industry trends."
58,58,https://www.mycareersfuture.sg/job/sharepoint-developer-asiacloud-solutions-d5427b68a6053e9f9b248c87d1c52b57,Islandwide,ASIACLOUD SOLUTIONS PRIVATE LIMITED,Sharepoint Developer,"Permanent, Contract, Full Time","Professional, Executive, Junior Executive, Senior Executive",Information Technology,"$5,500to$7,500",Monthly,"Roles & Responsibilities
The SharePoint Software Developer applies current graphics design and .NET technologies to develop, modify, maintain SharePoint server portals.
Design, develop, and manage site content and capabilities and provide daily onsite maintenance of the existing MOSS portals.
Participates in the testing process through test review and analysis, test witnessing and certification of software. 
Familiar with US Digital standard concepts, practices, and procedures.
Relies on experience and judgment to plan and accomplish goals.
Work with project stakeholders on a daily basis.
A certain degree of creativity and latitude is required.
Develops software solutions by studying requirements analysis and information needs; conferring with stakeholders and IT Management; studying systems flow, data usage, and work processes; performs software design using software development fundamentals and processes, debug, test, and deploy software solutions.
Design, develop and maintain key components of the software suite using classic ASP, Microsoft .Net and SharePoint Server 2013.
Implementation of SharePoint-based workflows as well as development of Business Intelligence dashboards.
Documents and demonstrates solutions by developing documentation, flowcharts, layouts, diagrams, charts, code comments and clear code.
Build proof of concept examples or graphical simulation software.  Then maintain product test software and demos for training purposes.
Protects operations by keeping information confidential.
Actively participate in product design reviews by providing creative and practical ideas and solutions in a teamwork environment. A wide degree of creativity and latitude required.","Requirements
Experience programming in .NET 3.5, C#, ASP.NET ,T-SQL, C/C++, XLM. Experience with SharePoint Designer, InfoPath, Web Parts, and workflow creation.
Experience as a SharePoint Developer in the analysis, design, hands-on development and delivery of web-based applications.
Experience using jQuery, Client Object Model, and Service Oriented Architecture.
Experience with SharePoint’s application services framework including implementation, configuration, and usages of Search, Managed Metadata, and User Profile Services.
Microsoft MCPD 70-576, SharePoint 2010/2013 Designing and Developing Applications certification is a plus but not required.
Ability to write Stored Procedures, write complex SQL queries, and ability to analyze the SQLdata is desired.
Experience with SQL Server Reporting Services, SQL Server Analysis Services, and/or SQL Server Integration Services a plus.
Bachelor's degree in Computer Science, Information Systems; or related discipline is desired."
59,59,https://www.mycareersfuture.sg/job/software-developer-d378c3ab39f730391a53fb313dea6584,Islandwide,COMPANY UNDISCLOSED,Software Developer,Full Time,Senior Executive,Information Technology,"$5,800to$7,300",Monthly,"Roles & Responsibilities
The SharePoint Software Developer applies current graphics design and .NET technologies to develop, modify, maintain SharePoint server portals.
Design, develop, and manage site content and capabilities and provide daily onsite maintenance of the existing MOSS portals.
Participates in the testing process through test review and analysis, test witnessing and certification of software. 
Familiar with US Digital standard concepts, practices, and procedures.
Relies on experience and judgment to plan and accomplish goals.
Work with project stakeholders on a daily basis.
A certain degree of creativity and latitude is required.
Develops software solutions by studying requirements analysis and information needs; conferring with stakeholders and IT Management; studying systems flow, data usage, and work processes; performs software design using software development fundamentals and processes, debug, test, and deploy software solutions.
Design, develop and maintain key components of the software suite using classic ASP, Microsoft .Net and SharePoint Server 2013.
Implementation of SharePoint-based workflows as well as development of Business Intelligence dashboards.
Documents and demonstrates solutions by developing documentation, flowcharts, layouts, diagrams, charts, code comments and clear code.
Build proof of concept examples or graphical simulation software.  Then maintain product test software and demos for training purposes.
Protects operations by keeping information confidential.
Actively participate in product design reviews by providing creative and practical ideas and solutions in a teamwork environment. A wide degree of creativity and latitude required.","Requirements
Experience programming in .NET 3.5, C#, ASP.NET ,T-SQL, C/C++, XLM. Experience with SharePoint Designer, InfoPath, Web Parts, and workflow creation.
Experience as a SharePoint Developer in the analysis, design, hands-on development and delivery of web-based applications.
Experience using jQuery, Client Object Model, and Service Oriented Architecture.
Experience with SharePoint’s application services framework including implementation, configuration, and usages of Search, Managed Metadata, and User Profile Services.
Microsoft MCPD 70-576, SharePoint 2010/2013 Designing and Developing Applications certification is a plus but not required.
Ability to write Stored Procedures, write complex SQL queries, and ability to analyze the SQLdata is desired.
Experience with SQL Server Reporting Services, SQL Server Analysis Services, and/or SQL Server Integration Services a plus.
Bachelor's degree in Computer Science, Information Systems; or related discipline is desired.
Attention to detail and commitment to high quality/error free deliverables.
 "
